Event	ID	Name			Wwise Object Path	Notes
	718486697	Play_SFX_MC_Combo_1			\MC_WU\Play_SFX_MC_Combo_1	
	718486698	Play_SFX_MC_Combo_2			\MC_WU\Play_SFX_MC_Combo_2	
	718486699	Play_SFX_MC_Combo_3			\MC_WU\Play_SFX_MC_Combo_3	
	718486700	Play_SFX_MC_Combo_4			\MC_WU\Play_SFX_MC_Combo_4	
	2300528402	Play_MC_FOLEY_LAND			\MC_WU\Play_MC_FOLEY_LAND	
	2368357634	Play_MC_FOOTSTEPS			\MC_WU\Play_MC_FOOTSTEPS	
	3729326061	Play_MC_FOLEY_JUMP			\MC_WU\Play_MC_FOLEY_JUMP	

Switch Group	ID	Name			Wwise Object Path	Notes
	718483783	MC_FOOTSTEPS_STATE			\MC_WU\MC_FOOTSTEPS_STATE	
	3210335123	MC_FOOTSTEPS_MATERIAL			\MC_WU\MC_FOOTSTEPS_MATERIAL	

Switch	ID	Name	Switch Group			Notes
	712161704	RUN	MC_FOOTSTEPS_STATE			
	2108779966	WALK	MC_FOOTSTEPS_STATE			
	712897245	Mud	MC_FOOTSTEPS_MATERIAL			
	2144363834	Rock	MC_FOOTSTEPS_MATERIAL			
	4248645337	Grass	MC_FOOTSTEPS_MATERIAL			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10029418	FL_MC_Land_Rock_06	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Land_Rock_06_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\JUMP_LAND_WU\FL_MC_JUMP_LAND\MC_FOLEY_LAND\MC_FL_Land_Rock\FL_MC_Land_Rock_06		60896
	19872710	FS_MC_Run_Grass_09	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Run_Grass_09_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Grass\MC_FS_Run_Grass\FS_MC_Run_Grass_09		64096
	21811159	SFX_MC_Combo_1	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\SFX_MC_Combo_1_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\COMBO_WU\SFX_MC_Combo\SFX_MC_Combo_1		118496
	28931344	FS_MC_Run_Rock_11	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Run_Rock_11_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Rock\MC_FS_Run_Rock\FS_MC_Run_Rock_11		57696
	29565374	FL_MC_Land_Rock_01	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Land_Rock_01_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\JUMP_LAND_WU\FL_MC_JUMP_LAND\MC_FOLEY_LAND\MC_FL_Land_Rock\FL_MC_Land_Rock_01		54496
	30257861	FL_MC_Walk_Cloth_06	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Walk_Cloth_06_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\MC_FOLEY_WU\MC_FOLEY_AM\FL_MC_Walk\FL_MC_Walk_Cloth_06		57696
	40811189	FS_MC_Walk_Grass_11	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Walk_Grass_11_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Grass\MC_FS_Walk_Grass\FS_MC_Walk_Grass_11		76896
	46254963	FL_MC_Walk_Cloth_05	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Walk_Cloth_05_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\MC_FOLEY_WU\MC_FOLEY_AM\FL_MC_Walk\FL_MC_Walk_Cloth_05		60896
	49675878	FL_MC_Land_Rock_05	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Land_Rock_05_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\JUMP_LAND_WU\FL_MC_JUMP_LAND\MC_FOLEY_LAND\MC_FL_Land_Rock\FL_MC_Land_Rock_05		51296
	65204404	FS_MC_Walk_Grass_10	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Walk_Grass_10_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Grass\MC_FS_Walk_Grass\FS_MC_Walk_Grass_10		51296
	77267166	FL_MC_Walk_Cloth_07	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Walk_Cloth_07_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\MC_FOLEY_WU\MC_FOLEY_AM\FL_MC_Walk\FL_MC_Walk_Cloth_07		60896
	80360255	FS_MC_Walk_Rock_03	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Walk_Rock_03_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Rock\MC_FS_Walk_Rock\FS_MC_Walk_Rock_03		70496
	83501507	FL_MC_Walk_Cloth_10	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FL_MC_Walk_Cloth_10_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\MC_FOLEY_WU\MC_FOLEY_AM\FL_MC_Walk\FL_MC_Walk_Cloth_10		60896
	84111535	FS_MC_Walk_Rock_02	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Walk_Rock_02_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Rock\MC_FS_Walk_Rock\FS_MC_Walk_Rock_02		83296
	104234187	FS_MC_Walk_Grass_12	C:\Users\Neorak\REPO\Arthur_Hermann_Remi_Darmedru_The_Explorer\HermannArthur_DarmedruRemi_UnitySlope_The_Explorer_Wwise\.cache\Windows\SFX\SFX\MC\FS_MC_Walk_Grass_12_10C4C929.wem		\Actor-Mixer Hierarchy\MC_WU\MC_AM\FOOTSTEPS_WU\FS_MC_AM\MC_FOOTSTEPS\MC_FOOTSTEPS_Grass\MC_FS_Walk_Grass\FS_MC_Walk_Grass_12		51296
